Project number,Lot,Supplier,Deliverable,MGR BE Number,Location,Resource,Contractors Name,CW,Work Description (e.g. Roof Works),Year,Date Received,Date Reviewed,Duration between receipt/review,Status (Authorised or Rejected with amendments Req),Has been authorised eventually?,Invoiced to MGR?,Comments,Work Stream
91037520,4,KR Analytics Ltd,MARS Review,54.54.64.14,GL15 5EH,Tate Benjamin,Centurion Ltd,Yes,General Inspection,3,2024-03-01,2024-03-15,"14 days, 0:00:00",Authorised,N/A,Yes,srftr,WS3
17130151,2,KR Analytics Ltd,MARS Review,32.62.11.32,DA12 5BQ,Marcos Mcpherson,Centurion Ltd,No,Roof repair,3,2024-03-04,2024-03-18,"14 days, 0:00:00",Rejected,Yes,No,hrvyv,WS1
82934880,2,KR Analytics Ltd,MARS Review,64.31.56.64,CV3 4HY,Marcos Mcpherson,Caledonian Ltd,No,Asbestos Survey,3,2023-11-04,2023-11-10,"6 days, 0:00:00",Rejected,Yes,No,gquxx,WS1
02565891,2,KR Analytics Ltd,MARS Review,24.44.43.53,BT21 0AA,Cassius Mullins,Caledonian Ltd,No,Air Conditioning Installations,3,2023-07-21,2023-08-04,"14 days, 0:00:00",Rejected,Yes,No,rrscy,WS3
94397883,1,KR Analytics Ltd,MARS Review,54.25.14.16,DT4 8QL,Brayden Giles,Epiphany Ltd,Yes,Vent Repairs,3,2023-06-23,2023-06-30,"7 days, 0:00:00",Authorised,N/A,Yes,yjasx,WS1
79747091,4,KR Analytics Ltd,MARS Review,43.22.55.25,GU7 2DA,Tate Benjamin,Centurion Ltd,No,Asbestos Survey,3,2023-05-06,2023-05-08,"2 days, 0:00:00",Authorised,N/A,Yes,kxovp,WS1
50331275,3,KR Analytics Ltd,MARS Review,32.34.25.62,CM4 0WL,Cora Lindsey,Arc Ltd,Yes,Fall Protection Inspection,3,2023-11-27,2023-12-10,"13 days, 0:00:00",Rejected,No,No,qgwbz,WS3
44275717,1,KR Analytics Ltd,MARS Review,24.15.54.31,G67 9AN,Jazmine Mathis,DASDA Ltd,Yes,Heating Installations,3,2023-04-23,2023-04-28,"5 days, 0:00:00",Authorised,N/A,Yes,ahpzx,WS1
94612130,1,KR Analytics Ltd,MARS Review,22.52.16.32,BS48 4NL,Tate Benjamin,DASDA Ltd,No,General Inspection,3,2023-11-26,2023-12-10,"14 days, 0:00:00",Rejected,Yes,No,tvlmh,WS3
31453694,3,KR Analytics Ltd,MARS Review,21.63.13.12,HD4 7DQ,Chelsea Huber,Centurion Ltd,No,Asbestos Survey,3,2023-12-28,2024-01-03,"6 days, 0:00:00",Authorised,N/A,Yes,wuira,WS1
57580913,4,KR Analytics Ltd,MARS Review,62.32.62.13,BA22 8BR,Brayden Giles,MEKOS Ltd,No,General Inspection,3,2023-05-05,2023-05-11,"6 days, 0:00:00",Rejected,No,No,ehtig,WS3
92002353,4,KR Analytics Ltd,MARS Review,24.11.56.21,HP11 2PP,Jazmine Mathis,Caledonian Ltd,No,Bird Netting Repair,3,2024-03-24,2024-04-01,"8 days, 0:00:00",Rejected,No,No,dfqfm,WS1
21700503,3,KR Analytics Ltd,MARS Review,46.42.61.13,BS31 2RG,Kenny Merritt,Aboard Service Ltd,No,Air Conditioning Installations,3,2023-08-19,2023-08-30,"11 days, 0:00:00",Authorised,N/A,Yes,txzyl,WS1
49445054,4,KR Analytics Ltd,MARS Review,56.12.46.21,DA11 0JS,Kenny Merritt,Arc Ltd,Yes,Roof repair,3,2024-03-23,2024-03-24,"1 day, 0:00:00",Authorised,N/A,Yes,gffrg,WS1
53518234,1,KR Analytics Ltd,MARS Review,14.45.11.64,DH9 9AW,Annabel Beasley,MEKOS Ltd,No,Vent Repairs,3,2023-07-13,2023-07-24,"11 days, 0:00:00",Rejected,Yes,No,ysvhw,WS3
92513547,3,KR Analytics Ltd,MARS Review,12.61.51.65,DA16 2HJ,Tate Benjamin,Centurion Ltd,No,Bird Netting Repair,3,2023-05-22,2023-06-05,"14 days, 0:00:00",Authorised,N/A,Yes,nsxdh,WS3
47654571,2,KR Analytics Ltd,MARS Review,22.33.24.31,BT22 2FX,Cassius Mullins,Aboard Service Ltd,No,Roof repair,3,2023-10-01,2023-10-07,"6 days, 0:00:00",Authorised,N/A,Yes,ldlrl,WS1
01504489,2,KR Analytics Ltd,MARS Review,14.31.36.15,G3 8HF,Kenny Merritt,Caledonian Ltd,Yes,Other Repairs,3,2023-10-24,2023-11-07,"14 days, 0:00:00",Rejected,Yes,No,ggrkg,WS3
53115819,1,KR Analytics Ltd,MARS Review,11.56.42.46,G63 9EA,Tate Benjamin,German Ltd,Yes,Fall Protection Inspection,3,2024-02-29,2024-03-08,"8 days, 0:00:00",Authorised,N/A,Yes,dcldp,WS1
22046722,2,KR Analytics Ltd,MARS Review,11.34.54.25,BN4 5BD,Marcos Mcpherson,Elixir Ltd,Yes,Heating Installations,3,2023-11-22,2023-11-26,"4 days, 0:00:00",Rejected,No,No,xkbks,WS1
24766920,1,KR Analytics Ltd,MARS Review,51.65.16.43,BB7 4DZ,Brayden Giles,Epiphany Ltd,Yes,Bird Netting Repair,3,2023-11-05,2023-11-19,"14 days, 0:00:00",Authorised,N/A,Yes,raeie,WS1
00818805,0,KR Analytics Ltd,MARS Review,15.42.42.12,EX22 6AP,Alfredo Holmes,Caledonian Ltd,No,Roof repair,3,2023-12-15,2023-12-16,"1 day, 0:00:00",Rejected,Yes,No,uvlcc,WS3
50850564,2,KR Analytics Ltd,MARS Review,32.51.36.52,EC2N 4AJ,Marcos Mcpherson,Aboard Service Ltd,No,Vent Repairs,3,2024-02-15,2024-02-27,"12 days, 0:00:00",Authorised,N/A,Yes,svezx,WS1
68385964,1,KR Analytics Ltd,MARS Review,41.21.24.55,EX38 8DW,Marcos Mcpherson,MEKOS Ltd,Yes,General Inspection,3,2023-09-02,2023-09-11,"9 days, 0:00:00",Authorised,N/A,Yes,bgohw,WS1
07920157,2,KR Analytics Ltd,MARS Review,21.55.64.31,BH6 3WG,Cassius Mullins,Elixir Ltd,Yes,Vent Repairs,3,2023-09-01,2023-09-06,"5 days, 0:00:00",Rejected,Yes,No,rhfed,WS3
50732589,0,KR Analytics Ltd,MARS Review,44.56.16.42,BA6 8RB,Brayden Giles,Caledonian Ltd,Yes,Vent Repairs,3,2023-06-26,2023-06-28,"2 days, 0:00:00",Rejected,Yes,No,tsugw,WS1
97936816,2,KR Analytics Ltd,MARS Review,22.31.11.46,BN26 6QE,Kenny Merritt,Elixir Ltd,No,Vent Repairs,3,2023-08-23,2023-09-05,"13 days, 0:00:00",Authorised,N/A,Yes,bwhlw,WS3
82741291,1,KR Analytics Ltd,MARS Review,36.62.41.31,DE7 2QP,Jazmine Mathis,Caledonian Ltd,Yes,Vent Repairs,3,2023-09-14,2023-09-17,"3 days, 0:00:00",Authorised,N/A,Yes,ttxmi,WS3
28053408,1,KR Analytics Ltd,MARS Review,56.41.12.56,HA3 6BD,Brayden Giles,Centurion Ltd,No,Other Repairs,3,2023-09-24,2023-09-30,"6 days, 0:00:00",Rejected,No,No,evxdy,WS1
68593745,1,KR Analytics Ltd,MARS Review,11.11.36.51,AB4 0UU,Chelsea Huber,Elixir Ltd,No,Other Repairs,3,2023-12-09,2023-12-15,"6 days, 0:00:00",Authorised,N/A,Yes,bhpeb,WS3
36814902,3,KR Analytics Ltd,MARS Review,55.56.63.61,EX6 8RP,Cassius Mullins,Caledonian Ltd,No,Roof repair,3,2023-04-24,2023-04-30,"6 days, 0:00:00",Rejected,No,No,xougg,WS1
06474917,2,KR Analytics Ltd,MARS Review,45.65.34.64,DT6 3RF,Marcos Mcpherson,Caledonian Ltd,Yes,Bird Netting Repair,3,2023-07-23,2023-08-01,"9 days, 0:00:00",Authorised,N/A,Yes,bmwzd,WS1
54902912,4,KR Analytics Ltd,MARS Review,11.22.22.14,CF11 9DW,Tate Benjamin,Aboard Service Ltd,No,Vent Repairs,3,2023-10-27,2023-11-06,"10 days, 0:00:00",Authorised,N/A,Yes,krjhb,WS3
07396402,1,KR Analytics Ltd,MARS Review,22.14.33.16,HA2 0YQ,Chelsea Huber,MEKOS Ltd,No,Roof repair,3,2023-05-16,2023-05-30,"14 days, 0:00:00",Authorised,N/A,Yes,kcbhx,WS3
04440945,0,KR Analytics Ltd,MARS Review,13.23.53.61,B62 8SH,Jazmine Mathis,Centurion Ltd,Yes,Fall Protection Inspection,3,2023-04-16,2023-04-30,"14 days, 0:00:00",Authorised,N/A,Yes,orbqo,WS3
38197817,3,KR Analytics Ltd,MARS Review,21.33.54.51,DG1 1EF,Alfredo Holmes,Elixir Ltd,No,Fall Protection Inspection,3,2023-05-23,2023-06-03,"11 days, 0:00:00",Rejected,No,No,dcfaj,WS3
37880756,0,KR Analytics Ltd,MARS Review,55.44.44.55,DH3 2HF,Annabel Beasley,Epiphany Ltd,Yes,Asbestos Survey,3,2024-03-05,2024-03-14,"9 days, 0:00:00",Authorised,N/A,Yes,nuyeb,WS1
53099260,4,KR Analytics Ltd,MARS Review,55.66.22.54,DY14 9WU,Cora Lindsey,MEKOS Ltd,No,Heating Installations,3,2024-01-10,2024-01-23,"13 days, 0:00:00",Rejected,No,No,sriai,WS3
11124949,3,KR Analytics Ltd,MARS Review,22.65.66.51,DN20 0BW,Chelsea Huber,German Ltd,Yes,Other Repairs,3,2023-05-29,2023-06-01,"3 days, 0:00:00",Rejected,No,No,jwylh,WS3
70851267,2,KR Analytics Ltd,MARS Review,12.66.45.54,GU31 4NA,Marcos Mcpherson,Aboard Service Ltd,Yes,Other Repairs,3,2023-09-11,2023-09-25,"14 days, 0:00:00",Rejected,No,No,pxtml,WS1
43473079,1,KR Analytics Ltd,MARS Review,61.25.56.21,HR2 6QJ,Annabel Beasley,Elixir Ltd,Yes,Fall Protection Inspection,3,2023-04-08,2023-04-21,"13 days, 0:00:00",Rejected,Yes,No,avbnr,WS1
17918166,0,KR Analytics Ltd,MARS Review,14.35.26.63,GL50 9RY,Kenny Merritt,German Ltd,No,General Inspection,3,2023-11-27,2023-12-09,"12 days, 0:00:00",Rejected,Yes,No,xzojx,WS3
84242265,2,KR Analytics Ltd,MARS Review,65.25.21.15,BS34 5PF,Brayden Giles,Aboard Service Ltd,No,Bird Netting Repair,3,2024-02-24,2024-03-06,"11 days, 0:00:00",Rejected,No,No,yrfen,WS3
01646079,1,KR Analytics Ltd,MARS Review,56.62.43.61,GL52 6LR,Marcos Mcpherson,MEKOS Ltd,Yes,Asbestos Survey,3,2023-12-10,2023-12-24,"14 days, 0:00:00",Rejected,Yes,No,xtjtt,WS3
63283843,0,KR Analytics Ltd,MARS Review,52.44.44.42,BL8 3BE,Alfredo Holmes,German Ltd,Yes,Other Repairs,3,2023-11-23,2023-12-03,"10 days, 0:00:00",Rejected,Yes,No,utrhp,WS1
01631494,4,KR Analytics Ltd,MARS Review,62.56.51.21,DL15 9UA,Marcos Mcpherson,Centurion Ltd,Yes,Fall Protection Inspection,3,2024-03-19,2024-04-01,"13 days, 0:00:00",Rejected,No,No,dcnbr,WS3
51283092,1,KR Analytics Ltd,MARS Review,15.22.65.51,DN22 8LG,Alfredo Holmes,MEKOS Ltd,Yes,Bird Netting Repair,3,2023-05-14,2023-05-16,"2 days, 0:00:00",Rejected,No,No,qixcs,WS1
64248349,4,KR Analytics Ltd,MARS Review,56.61.22.36,GU22 9BT,Tate Benjamin,Epiphany Ltd,No,Air Conditioning Installations,3,2024-02-20,2024-02-27,"7 days, 0:00:00",Authorised,N/A,Yes,jcwro,WS1
98521082,1,KR Analytics Ltd,MARS Review,45.36.36.62,BT47 2UE,Brayden Giles,Elixir Ltd,Yes,Fall Protection Inspection,3,2023-08-05,2023-08-12,"7 days, 0:00:00",Rejected,Yes,No,rgdyy,WS1
49491848,3,KR Analytics Ltd,MARS Review,14.31.63.16,AB24 3ET,Jazmine Mathis,Elixir Ltd,No,Fall Protection Inspection,3,2023-10-14,2023-10-22,"8 days, 0:00:00",Rejected,Yes,No,ulepu,WS1
60359417,2,KR Analytics Ltd,MARS Review,42.25.41.53,BA20 1DD,Marcos Mcpherson,Centurion Ltd,Yes,Roof repair,3,2024-01-31,2024-02-12,"12 days, 0:00:00",Rejected,No,No,wvsfv,WS1
62706623,2,KR Analytics Ltd,MARS Review,51.54.23.16,EH11 1TH,Alfredo Holmes,Aboard Service Ltd,Yes,Asbestos Survey,3,2023-06-26,2023-07-03,"7 days, 0:00:00",Authorised,N/A,Yes,tcjrk,WS3
65983424,0,KR Analytics Ltd,MARS Review,15.32.31.46,DT2 9LY,Kenny Merritt,Centurion Ltd,No,Heating Installations,3,2023-04-05,2023-04-17,"12 days, 0:00:00",Rejected,Yes,No,vmrfv,WS3
35242637,2,KR Analytics Ltd,MARS Review,63.15.61.25,BD23 5ED,Annabel Beasley,MEKOS Ltd,No,Other Repairs,3,2024-01-07,2024-01-14,"7 days, 0:00:00",Authorised,N/A,Yes,iubjv,WS3
39902303,2,KR Analytics Ltd,MARS Review,53.52.31.65,G69 7FD,Brayden Giles,MEKOS Ltd,No,General Inspection,3,2024-03-13,2024-03-18,"5 days, 0:00:00",Rejected,No,No,psdyf,WS3
99625845,2,KR Analytics Ltd,MARS Review,61.64.25.56,EH4 1SR,Brayden Giles,Elixir Ltd,Yes,Air Conditioning Installations,3,2024-02-10,2024-02-12,"2 days, 0:00:00",Authorised,N/A,Yes,cbkod,WS1
47769315,2,KR Analytics Ltd,MARS Review,55.41.52.52,AB2 7YR,Annabel Beasley,German Ltd,Yes,Air Conditioning Installations,3,2024-02-16,2024-02-25,"9 days, 0:00:00",Authorised,N/A,Yes,qegle,WS1
43720873,0,KR Analytics Ltd,MARS Review,31.21.41.66,BA12 6ND,Marcos Mcpherson,Epiphany Ltd,No,Other Repairs,3,2023-06-25,2023-06-28,"3 days, 0:00:00",Authorised,N/A,Yes,bpfsd,WS3
60071264,4,KR Analytics Ltd,MARS Review,25.44.32.12,BN22 0SY,Annabel Beasley,Arc Ltd,No,Asbestos Survey,3,2023-07-24,2023-08-03,"10 days, 0:00:00",Authorised,N/A,Yes,evnit,WS3
51097107,4,KR Analytics Ltd,MARS Review,33.22.33.33,DY5 4LH,Cassius Mullins,DASDA Ltd,Yes,Heating Installations,3,2023-09-15,2023-09-29,"14 days, 0:00:00",Rejected,Yes,No,nwarc,WS1
79324755,2,KR Analytics Ltd,MARS Review,13.61.23.41,CT11 0EE,Brayden Giles,Arc Ltd,No,Fall Protection Inspection,3,2023-06-13,2023-06-24,"11 days, 0:00:00",Authorised,N/A,Yes,jntec,WS3
78762201,3,KR Analytics Ltd,MARS Review,45.64.14.54,EH52 6LF,Alfredo Holmes,MEKOS Ltd,Yes,Roof repair,3,2024-03-17,2024-03-24,"7 days, 0:00:00",Rejected,Yes,No,rnitt,WS3
54814399,0,KR Analytics Ltd,MARS Review,11.21.45.23,BT44 0NF,Cora Lindsey,Caledonian Ltd,Yes,Heating Installations,3,2023-12-19,2024-01-01,"13 days, 0:00:00",Authorised,N/A,Yes,jccmf,WS3
30059746,2,KR Analytics Ltd,MARS Review,51.51.33.12,CA4 8BD,Cassius Mullins,Elixir Ltd,Yes,Vent Repairs,3,2023-07-18,2023-07-19,"1 day, 0:00:00",Authorised,N/A,Yes,zjlzn,WS1
83555348,0,KR Analytics Ltd,MARS Review,24.12.62.24,EN9 2DB,Kenny Merritt,Aboard Service Ltd,No,Other Repairs,3,2024-01-19,2024-01-29,"10 days, 0:00:00",Authorised,N/A,Yes,xbpzc,WS1
40819404,1,KR Analytics Ltd,MARS Review,63.65.64.62,EH12 5TF,Brayden Giles,Caledonian Ltd,No,Other Repairs,3,2023-04-23,2023-04-26,"3 days, 0:00:00",Rejected,Yes,No,nokmp,WS3
37000469,1,KR Analytics Ltd,MARS Review,23.33.54.23,EH11 4GJ,Alfredo Holmes,Epiphany Ltd,No,General Inspection,3,2023-05-14,2023-05-20,"6 days, 0:00:00",Rejected,No,No,gqobz,WS3
99169647,4,KR Analytics Ltd,MARS Review,31.11.16.41,EN8 9DN,Chelsea Huber,Aboard Service Ltd,No,Heating Installations,3,2024-01-10,2024-01-12,"2 days, 0:00:00",Authorised,N/A,Yes,kgbhz,WS3
32225954,1,KR Analytics Ltd,MARS Review,14.45.25.24,HA5 5DB,Alfredo Holmes,Aboard Service Ltd,Yes,Air Conditioning Installations,3,2023-06-03,2023-06-07,"4 days, 0:00:00",Authorised,N/A,Yes,doygc,WS3
79039541,0,KR Analytics Ltd,MARS Review,35.11.31.63,DA8 1ER,Cora Lindsey,Epiphany Ltd,No,Roof repair,3,2023-10-10,2023-10-15,"5 days, 0:00:00",Authorised,N/A,Yes,rjuhx,WS1
94605320,3,KR Analytics Ltd,MARS Review,62.63.51.65,BT33 0BG,Cora Lindsey,Caledonian Ltd,Yes,Other Repairs,3,2023-06-23,2023-07-04,"11 days, 0:00:00",Authorised,N/A,Yes,cjzwq,WS3
00088730,1,KR Analytics Ltd,MARS Review,26.26.55.36,DG9 7LP,Chelsea Huber,Epiphany Ltd,No,Heating Installations,3,2023-12-30,2024-01-09,"10 days, 0:00:00",Rejected,Yes,No,sdkfr,WS1
46182227,4,KR Analytics Ltd,MARS Review,55.54.66.52,BD4 0AX,Brayden Giles,Centurion Ltd,No,Bird Netting Repair,3,2024-02-22,2024-02-27,"5 days, 0:00:00",Authorised,N/A,Yes,kuzkr,WS1
66738248,1,KR Analytics Ltd,MARS Review,54.42.35.45,GL3 3QN,Brayden Giles,Arc Ltd,No,Heating Installations,3,2023-09-25,2023-10-09,"14 days, 0:00:00",Authorised,N/A,Yes,ywthl,WS3
95945409,1,KR Analytics Ltd,MARS Review,24.44.14.45,BL6 7UA,Annabel Beasley,MEKOS Ltd,No,Bird Netting Repair,3,2023-09-04,2023-09-15,"11 days, 0:00:00",Rejected,Yes,No,foaav,WS1
03803470,3,KR Analytics Ltd,MARS Review,33.21.55.31,EH9 3FL,Annabel Beasley,Centurion Ltd,No,Asbestos Survey,3,2023-11-16,2023-11-25,"9 days, 0:00:00",Rejected,Yes,No,etbyn,WS3
71621668,2,KR Analytics Ltd,MARS Review,31.25.34.34,GU1 2GJ,Brayden Giles,German Ltd,No,General Inspection,3,2023-04-30,2023-05-01,"1 day, 0:00:00",Rejected,No,No,exerd,WS3
07150296,1,KR Analytics Ltd,MARS Review,14.31.62.51,BD23 9FJ,Annabel Beasley,Caledonian Ltd,Yes,Bird Netting Repair,3,2023-06-02,2023-06-14,"12 days, 0:00:00",Authorised,N/A,Yes,oznrr,WS1
63867997,3,KR Analytics Ltd,MARS Review,15.33.34.25,BB1 3NA,Cora Lindsey,DASDA Ltd,No,Fall Protection Inspection,3,2023-06-17,2023-06-27,"10 days, 0:00:00",Rejected,Yes,No,okzgz,WS3
60063890,3,KR Analytics Ltd,MARS Review,56.23.55.61,B93 9NH,Alfredo Holmes,MEKOS Ltd,No,Air Conditioning Installations,3,2023-10-08,2023-10-21,"13 days, 0:00:00",Rejected,No,No,harec,WS1
84634379,3,KR Analytics Ltd,MARS Review,23.25.34.24,CM1 4RZ,Alfredo Holmes,Elixir Ltd,Yes,Bird Netting Repair,3,2024-01-18,2024-01-19,"1 day, 0:00:00",Authorised,N/A,Yes,kpuco,WS3
48467332,2,KR Analytics Ltd,MARS Review,32.33.44.24,B42 2HY,Cassius Mullins,Aboard Service Ltd,Yes,Other Repairs,3,2024-02-14,2024-02-25,"11 days, 0:00:00",Authorised,N/A,Yes,wmabu,WS3
24240285,3,KR Analytics Ltd,MARS Review,41.61.16.26,BN13 3QG,Marcos Mcpherson,Arc Ltd,Yes,Asbestos Survey,3,2023-06-14,2023-06-28,"14 days, 0:00:00",Authorised,N/A,Yes,bbzwe,WS3
31882411,4,KR Analytics Ltd,MARS Review,16.31.52.16,BA7 7AP,Kenny Merritt,Arc Ltd,No,Air Conditioning Installations,3,2023-08-20,2023-09-03,"14 days, 0:00:00",Rejected,No,No,xqule,WS1
26638151,3,KR Analytics Ltd,MARS Review,51.14.64.25,E17 8TR,Annabel Beasley,German Ltd,No,Asbestos Survey,3,2023-06-22,2023-06-26,"4 days, 0:00:00",Rejected,Yes,No,owdig,WS1
00775235,1,KR Analytics Ltd,MARS Review,22.32.32.23,E1 1EY,Brayden Giles,Elixir Ltd,Yes,Heating Installations,3,2023-07-06,2023-07-13,"7 days, 0:00:00",Rejected,Yes,No,opxgi,WS3
56720248,1,KR Analytics Ltd,MARS Review,46.46.22.44,BN20 0JD,Alfredo Holmes,MEKOS Ltd,Yes,Bird Netting Repair,3,2024-02-11,2024-02-15,"4 days, 0:00:00",Rejected,No,No,qrpds,WS1
88675020,1,KR Analytics Ltd,MARS Review,52.14.21.55,FY5 4DZ,Marcos Mcpherson,MEKOS Ltd,No,Roof repair,3,2023-09-08,2023-09-14,"6 days, 0:00:00",Authorised,N/A,Yes,oemln,WS1
36463946,2,KR Analytics Ltd,MARS Review,54.12.43.22,BT92 0PX,Chelsea Huber,German Ltd,No,Asbestos Survey,3,2023-10-04,2023-10-09,"5 days, 0:00:00",Rejected,No,No,apceq,WS1
74820942,4,KR Analytics Ltd,MARS Review,56.41.35.11,HA1 2PR,Jazmine Mathis,MEKOS Ltd,No,General Inspection,3,2023-11-02,2023-11-13,"11 days, 0:00:00",Authorised,N/A,Yes,orqsl,WS1
47625353,1,KR Analytics Ltd,MARS Review,65.21.25.21,AB10 1QH,Marcos Mcpherson,DASDA Ltd,Yes,Fall Protection Inspection,3,2023-08-08,2023-08-16,"8 days, 0:00:00",Rejected,No,No,rsssa,WS3
74447149,0,KR Analytics Ltd,MARS Review,52.32.12.24,B24 8QW,Alfredo Holmes,Elixir Ltd,Yes,Roof repair,3,2024-01-02,2024-01-12,"10 days, 0:00:00",Authorised,N/A,Yes,vbefh,WS1
56168613,1,KR Analytics Ltd,MARS Review,61.53.54.25,AB1 4RA,Tate Benjamin,DASDA Ltd,Yes,Vent Repairs,3,2023-12-13,2023-12-14,"1 day, 0:00:00",Authorised,N/A,Yes,kgpcq,WS3
54673229,0,KR Analytics Ltd,MARS Review,13.44.66.36,HA2 8AU,Chelsea Huber,Epiphany Ltd,No,Air Conditioning Installations,3,2023-06-22,2023-07-06,"14 days, 0:00:00",Rejected,No,No,bwjix,WS1
98365827,1,KR Analytics Ltd,MARS Review,61.52.23.24,CF14 2LJ,Marcos Mcpherson,German Ltd,No,Asbestos Survey,3,2023-10-24,2023-11-06,"13 days, 0:00:00",Authorised,N/A,Yes,bknsq,WS3
43946227,3,KR Analytics Ltd,MARS Review,16.44.43.31,BS23 3AZ,Jazmine Mathis,German Ltd,No,Asbestos Survey,3,2023-08-26,2023-09-02,"7 days, 0:00:00",Rejected,No,No,ekofw,WS1
54879354,4,KR Analytics Ltd,MARS Review,23.51.33.15,FY6 8HU,Jazmine Mathis,Caledonian Ltd,Yes,Vent Repairs,3,2024-02-11,2024-02-18,"7 days, 0:00:00",Authorised,N/A,Yes,faipu,WS3
85258061,0,KR Analytics Ltd,MARS Review,64.43.24.35,FY1 4BF,Alfredo Holmes,MEKOS Ltd,Yes,General Inspection,3,2024-01-04,2024-01-08,"4 days, 0:00:00",Rejected,No,No,dyaph,WS3
27547225,4,KR Analytics Ltd,MARS Review,24.31.52.56,G78 3DN,Brayden Giles,Centurion Ltd,No,Bird Netting Repair,3,2023-09-19,2023-10-01,"12 days, 0:00:00",Rejected,Yes,No,drequ,WS1
11676566,4,KR Analytics Ltd,MARS Review,31.64.46.11,BH2 6ZL,Cora Lindsey,Epiphany Ltd,No,Bird Netting Repair,3,2023-09-23,2023-10-01,"8 days, 0:00:00",Authorised,N/A,Yes,ksxid,WS1
66662106,1,KR Analytics Ltd,MARS Review,64.11.16.22,EH11 1DJ,Alfredo Holmes,Elixir Ltd,No,Other Repairs,3,2023-06-24,2023-06-28,"4 days, 0:00:00",Rejected,Yes,No,podis,WS1
94411618,1,KR Analytics Ltd,MARS Review,25.11.35.22,DN14 7UX,Kenny Merritt,German Ltd,Yes,Bird Netting Repair,3,2023-05-25,2023-06-05,"11 days, 0:00:00",Authorised,N/A,Yes,ybkxk,WS3
11172795,4,KR Analytics Ltd,MARS Review,34.46.32.33,BT63 5UJ,Cassius Mullins,MEKOS Ltd,No,Fall Protection Inspection,3,2023-11-27,2023-11-30,"3 days, 0:00:00",Authorised,N/A,Yes,knuaq,WS3
86320673,0,KR Analytics Ltd,MARS Review,11.66.46.24,BS23 2RE,Tate Benjamin,Elixir Ltd,Yes,Asbestos Survey,3,2023-10-24,2023-11-03,"10 days, 0:00:00",Rejected,No,No,qbpqo,WS3
